pair_index	label	native_rank	computed_score	duration_bars	start_a_ms	start_b_ms	duration_ms	speed_a	speed_b	top_preset_id
7	brightside-to-dont-stop	10	2.2135066986083984	8	209236	32090	12977	1	0.9586189389228821	2
7	brightside-to-dont-stop	11	2.008882522583008	8	209236	36780	12977	1	0.9532244801521301	4
7	brightside-to-dont-stop	12	2.1385414600372314	8	209236	33690	12977	1	0.9532244801521301	4
7	brightside-to-dont-stop	13	2.0187957286834717	8	205992	32090	12977	1	0.9586189389228821	5
7	brightside-to-dont-stop	14	2.062596559524536	8	209236	35220	12977	1	0.9547657370567322	18
7	brightside-to-dont-stop	15	1.2427496910095215	16	196260	32090	25953	1	0.954802930355072	3
7	brightside-to-dont-stop	16	1.1840875148773193	16	196260	33690	25953	1	0.9528762102127075	8
7	brightside-to-dont-stop	17	1.1476950645446777	16	191394	32090	25953	1	0.954802930355072	19
7	brightside-to-dont-stop	18	1.1364293098449707	16	189772	32090	25953	1	0.954802930355072	9
7	brightside-to-dont-stop	19	1.1364293098449707	16	193016	32090	25953	1	0.954802930355072	1
